seq,robot_millis,side_cm,front_cm,error,pid_output,left_speed,right_speed,recv_time
59,16850,6,-1,9.00,65.00,130,0,1784559037.182
60,16985,3,87,12.00,65.00,130,0,1784559037.322
61,17162,60,-1,-45.00,-65.00,0,130,1784559037.498
62,17340,60,-1,-45.00,-44.86,20,109,1784559037.677
63,17518,60,-1,-45.00,-45.02,19,110,1784559037.848
64,17691,60,-1,-45.00,-45.18,19,110,1784559038.022
65,17865,60,-1,-45.00,-45.33,19,110,1784559038.196
66,18039,60,-1,-45.00,-45.49,19,110,1784559038.368
67,18213,60,-1,-45.00,-45.64,19,110,1784559038.549
68,18374,60,100,-45.00,-45.79,19,110,1784559038.712
69,18536,60,121,-45.00,-45.94,19,110,1784559038.865
70,18696,60,125,-45.00,-46.00,19,111,1784559039.024
71,18854,60,125,-45.00,-46.00,19,111,1784559039.190
72,19019,60,172,-45.00,-46.00,19,111,1784559039.356
73,19197,60,-1,-45.00,-46.00,19,111,1784559039.535
74,19375,60,-1,-45.00,-46.00,19,111,1784559039.703
75,19539,60,205,-45.00,-46.00,19,111,1784559039.869
76,19716,60,-1,-45.00,-46.00,19,111,1784559040.051
77,19891,60,-1,-45.00,-46.00,19,111,1784559040.221
78,20065,60,-1,-45.00,-46.00,19,111,1784559040.395
79,20239,60,-1,-45.00,-46.00,19,111,1784559040.570
80,20564,60,-1,-45.00,-65.00,0,130,1784559040.892
81,20739,60,-1,-45.00,-45.45,19,110,1784559041.070
82,20892,60,29,-45.00,-45.59,19,110,1784559041.223
83,21045,60,29,-45.00,-45.73,19,110,1784559041.376
84,21219,60,-1,-45.00,-45.88,19,110,1784559041.548
85,21372,60,30,-45.00,-46.00,19,111,1784559041.700
86,21525,60,30,-45.00,-46.00,19,111,1784559041.854
87,21678,60,30,-45.00,-46.00,19,111,1784559042.007
88,21852,60,-1,-45.00,-46.00,19,111,1784559042.181
89,22005,60,29,-45.00,-46.00,19,111,1784559042.334
90,22179,60,-1,-45.00,-46.00,19,111,1784559042.508
91,22504,60,-1,-45.00,-65.00,0,130,1784559042.833
92,22657,60,27,-45.00,-45.43,19,110,1784559042.986
93,22820,60,206,-45.00,-45.58,19,110,1784559043.148
94,22983,60,203,-45.00,-45.72,19,110,1784559043.312
95,23292,60,126,-45.00,-65.00,0,130,1784559043.621
96,23452,60,137,-45.00,-45.42,19,110,1784559043.781
97,23604,60,26,-45.00,-45.56,19,110,1784559043.932
98,23757,60,29,-45.00,-45.70,19,110,1784559044.085
99,23910,60,29,-45.00,-45.83,19,110,1784559044.239
100,24063,60,29,-45.00,-45.97,19,110,1784559044.392
101,24215,60,26,-45.00,-46.00,19,111,1784559044.545
102,24368,60,29,-45.00,-46.00,19,111,1784559044.697
103,24520,60,26,-45.00,-46.00,19,111,1784559044.848
104,24694,60,-1,-45.00,-46.00,19,111,1784559045.023
